miRNA	A10_SM385B	A11_SM385B	A12_SM385B	A13_SM385B	A14_SM385B	A1_SM385B	A2_SM385B	A3_SM385B	A4_SM385B	A5_SM385B	A6_SM385B	A7_SM385B	A8_SM385B	A9_SM385B	B10_SM385B	B11_SM385B	B12_SM385B	B13_SM385B	B1_SM385B	B2_SM385B	B3_SM385B	B4_SM385B	B5_SM385B	B6_SM385B	B7_SM385B	B8_SM385B	B9_SM385B	C1_SM385B	C2_SM385B	C3_SM385B	C4_SM385B	C5_SM385B	C6_SM385B
hsa-miR-1251-3p	12	1	15	0	0	0	1	0	1	0	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1251-5p	83	122	88	4	25	10	45	17	22	13	100	34	15	200	36	30	10	1	26	23	98	25	22	103	9	138	116	24	7	6	47	4	69
hsa-miR-1252-3p	13	6	2	11	1	4	10	1	8	2	12	9	32	0	4	0	17	4	6	0	1	2	0	0	6	17	1	0	5	0	1	0	6
hsa-miR-1252-5p	81	58	67	21	10	30	68	18	35	26	79	60	14	73	53	45	8	7	49	22	35	40	76	104	41	143	319	15	23	1	43	8	33
hsa-miR-1253	5	5	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	7	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-1255a	54	128	28	61	13	12	23	23	5	9	40	44	12	15	38	10	31	8	29	6	8	11	46	123	35	110	269	11	17	1	18	3	1
hsa-miR-1255b-2-3p	0	0	0	0	0	0	0	9	0	0	0	0	0	16	6	0	0	0	0	0	1	0	0	45	0	0	0	0	0	3	0	0	3
hsa-miR-1255b-5p	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0
hsa-miR-1256	4	5	0	0	6	0	6	0	5	0	0	2	0	1	3	0	6	0	7	0	1	5	0	20	1	11	0	2	5	0	4	0	1
hsa-miR-1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1258	35	22	83	18	14	21	15	11	11	2	40	15	1	92	3	12	24	6	16	38	13	10	38	112	7	111	99	7	4	1	18	20	4
hsa-miR-125a-3p	261	215	251	107	65	97	119	62	78	33	175	140	128	287	60	82	76	56	73	232	59	69	57	441	53	294	261	41	28	27	59	28	55
hsa-miR-125a-5p	156534	243629	109983	92057	42738	29540	179219	84408	93679	42243	86234	111597	153933	343349	57273	76677	118423	51595	153713	428331	105483	121138	63723	318927	112313	528286	179265	16592	23178	5566	35752	8251	27900
hsa-miR-125b-1-3p	1897	2283	2052	797	469	82	1207	524	503	304	1101	830	882	4222	452	745	919	272	776	2140	746	660	695	4075	524	2706	1491	220	184	201	491	122	308
hsa-miR-125b-2-3p	9975	10048	7686	4485	3278	2070	8126	3594	4039	1822	8515	5857	4981	19122	4299	4201	8236	2276	5447	6952	5352	4693	4370	30415	3895	22549	23940	1481	2115	1022	2879	1168	2712
hsa-miR-125b-5p	715396	1144367	485520	411105	199484	57146	735515	338524	283768	147096	431782	473532	465745	1675746	300179	241006	310200	120098	478417	656381	403800	435762	297268	1769419	368703	2154101	1103262	63946	91291	39250	191338	50410	132779
hsa-miR-126-3p	111815	89719	96841	71555	33955	11789	106654	31538	54768	19365	158452	77811	54611	301250	80844	51570	60327	17860	71070	46641	61696	50588	44443	287788	59013	377019	503314	24348	23942	5648	44571	17270	28532
hsa-miR-126-5p	44870	26997	50821	20535	10135	5046	44584	16757	13637	7189	50777	19237	27562	78666	25966	18801	14335	9122	21450	12341	23249	18033	15728	106949	19803	134371	196131	13999	11107	2028	29907	13701	10850
hsa-miR-1260a	4438	2172	2831	1238	857	150	1282	1145	647	363	2516	1610	2036	7355	865	1182	1040	366	835	2890	1438	682	723	9623	897	8061	4128	287	231	143	485	166	435
hsa-miR-1260b	2878	1302	2234	808	483	117	681	684	450	238	1786	887	1421	5615	572	819	482	133	564	1690	1042	407	352	7651	512	5441	2118	178	133	74	229	105	247
hsa-miR-1261	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1262	17	9	2	4	12	3	15	7	1	3	26	18	1	36	0	26	9	2	11	1	6	9	0	34	1	25	24	9	10	2	9	3	3
hsa-miR-1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1264	1194	1277	613	1191	406	46	995	420	319	193	1368	720	387	820	708	278	291	118	569	170	704	556	622	3988	305	2535	7214	188	488	120	533	273	122
hsa-miR-1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-5p	10	2	0	0	0	0	2	0	2	1	5	0	0	0	4	0	0	0	3	0	4	5	0	0	5	0	0	0	0	0	0	0	0
hsa-miR-1267	9	9	2	2	5	12	7	8	7	6	12	14	0	12	11	20	0	0	16	2	8	7	6	92	8	114	77	4	4	0	5	0	13
hsa-miR-1268a	22	2	3	13	6	0	10	7	5	0	16	13	1	6	0	12	8	0	1	0	2	1	0	28	7	5	0	10	10	1	1	2	4
hsa-miR-1268b	26	6	13	14	4	10	13	13	20	1	19	14	2	6	4	12	8	2	4	16	6	3	0	62	8	22	14	7	10	0	1	4	1
hsa-miR-1269a	14	0	0	3	0	0	0	10	0	0	1	5	2	12	0	0	0	0	0	5	4	0	0	1	0	0	0	1	0	0	0	0	0
hsa-miR-1269b	0	0	0	0	0	0	0	5	0	1	0	0	0	79	0	0	0	6	2	0	0	1	0	1	0	0	0	0	12	0	0	0	0
hsa-miR-127-3p	104944	73876	88854	32920	19123	11692	54184	24698	23269	7798	79708	39695	25995	71353	19338	35813	39485	12279	28857	37107	22895	29079	34621	189150	20603	126382	151384	12885	12175	3434	18964	8337	15600
hsa-miR-127-5p	6551	4211	5199	3000	1540	823	4307	1850	2066	1018	6244	3511	2415	4528	2137	2594	2598	986	2676	2153	2279	2262	1830	10141	2103	11199	12178	839	993	263	1508	526	1640
hsa-miR-1270	34	59	114	21	11	8	37	7	10	0	63	53	4	55	4	0	53	10	32	37	46	11	35	87	6	136	32	2	36	12	14	8	8
hsa-miR-1271-3p	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	45	0	0	0	0	0	0
hsa-miR-1271-5p	2125	1668	1087	815	676	337	1474	608	516	270	2090	1031	693	2179	850	383	636	156	762	682	734	986	1169	6507	615	5888	6115	145	162	184	646	118	292
hsa-miR-1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1273c	28	5	15	2	5	3	16	10	4	1	1	9	40	50	3	0	0	0	1	1	2	5	13	2	7	35	69	0	10	0	3	0	0
hsa-miR-1273h-3p	110	73	35	33	19	2	58	26	30	16	33	17	22	17	9	28	35	7	49	115	14	40	17	81	18	58	199	3	3	2	12	0	9
hsa-miR-1273h-5p	39	65	25	3	4	0	4	9	3	1	76	13	2	64	5	17	20	0	2	1	11	7	0	0	4	20	34	2	10	4	0	2	2
hsa-miR-1275	3	0	0	0	0	0	0	3	1	2	0	0	2	0	0	0	0	0	0	20	7	0	0	0	0	0	0	0	5	0	0	0	0
hsa-miR-1276	39	10	62	19	5	0	16	6	10	4	17	14	3	81	24	0	4	2	22	14	4	7	8	115	11	92	23	0	11	1	8	0	3
hsa-miR-1277-3p	86	58	47	81	24	12	45	18	48	29	98	41	43	164	50	55	28	12	49	8	31	38	39	88	33	254	282	3	12	2	12	3	22
hsa-miR-1277-5p	5	16	7	27	8	3	19	4	13	19	39	8	3	57	33	8	3	2	19	2	40	11	11	73	10	40	73	4	11	1	5	3	3
hsa-miR-1278	8	0	4	7	5	0	15	7	12	7	10	11	14	0	8	0	16	5	10	4	11	0	2	18	2	119	115	0	9	1	11	0	1
hsa-miR-1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-128-1-5p	162	142	126	50	31	32	139	82	99	31	160	143	129	265	38	74	103	60	115	252	81	98	63	481	78	360	315	63	34	11	47	25	94
hsa-miR-128-2-5p	130	117	69	54	25	5	42	58	61	20	29	25	67	85	21	43	27	20	35	170	27	36	3	64	39	186	122	4	3	1	10	10	22
hsa-miR-128-3p	550056	702457	484493	329705	171130	70747	408195	182451	219336	76003	504807	369061	221690	610115	214557	316389	537342	118704	400482	512987	194814	358960	226413	1498727	281467	1566435	1150026	57539	138491	19726	183024	41955	137589
hsa-miR-1281	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1283	37	40	29	15	11	2	52	8	16	7	39	19	16	10	18	71	7	5	39	6	16	9	3	58	19	120	154	7	7	0	17	5	12
hsa-miR-1284	29	29	8	16	29	0	22	2	6	8	27	7	49	75	27	23	8	13	13	14	8	15	19	122	32	29	33	1	1	0	1	3	6
hsa-miR-1285-3p	32	58	23	11	3	14	23	9	20	8	42	36	34	87	20	7	23	2	7	25	25	12	25	63	7	97	173	14	4	12	15	13	8
hsa-miR-1285-5p	7	12	1	3	21	17	5	5	8	0	24	8	0	60	8	0	30	6	0	14	4	4	4	108	6	1	27	0	0	2	21	0	11
hsa-miR-1286	5	0	14	0	2	8	18	1	0	0	10	7	0	0	0	0	0	4	6	0	0	5	2	0	5	1	61	0	0	2	1	5	8
hsa-miR-1287-3p	0	6	0	10	4	0	2	2	3	3	5	0	0	0	5	0	0	0	1	1	5	0	0	0	0	29	93	0	14	1	0	0	1
hsa-miR-1287-5p	251	215	235	125	99	13	137	73	30	30	153	176	26	352	112	42	123	28	125	96	114	93	56	668	89	525	423	12	30	50	105	20	26
hsa-miR-1288-3p	0	0	0	3	5	1	0	0	2	0	0	0	0	16	0	0	0	0	3	0	0	3	0	23	0	0	0	0	0	0	0	0	0
hsa-miR-1288-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1289	2	21	18	1	0	0	6	1	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-129-1-3p	3324	1905	2631	691	868	1260	1793	900	819	507	3397	1201	1017	2803	895	1281	373	199	958	688	1474	882	1063	5221	543	6933	5971	1387	594	180	1418	463	972
hsa-miR-129-2-3p	11369	8479	10231	2558	4981	1075	5004	3689	1789	1112	11695	3439	3766	9236	2630	4888	2780	609	3423	3944	4669	2572	3322	26542	1918	16878	21051	3957	2829	492	4514	1076	4108
hsa-miR-129-5p	23396	19556	27204	6569	9248	2805	11448	6491	5503	2404	23542	7024	9698	21938	6032	14605	17153	3631	12619	15361	8828	7753	7827	41130	6277	47650	37896	3338	5316	1573	6574	1912	5032
hsa-miR-1290	1	0	0	1	2	30	2	3	0	1	3	2	13	34	0	2	2	0	1	0	0	2	0	1	0	0	12	4	5	11	0	0	2
hsa-miR-1291	200	276	201	199	128	62	237	240	132	62	203	208	39	367	252	104	178	60	94	104	148	54	116	681	174	625	664	458	92	182	80	9	283
hsa-miR-1292-3p	1	0	0	0	0	0	13	0	0	0	8	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1292-5p	49	87	96	72	43	9	60	25	49	9	115	64	5	157	21	46	67	57	56	114	30	32	40	242	30	227	131	10	28	17	44	16	20
hsa-miR-1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1294	17	0	9	0	0	0	11	10	5	1	16	13	2	87	7	22	0	0	1	2	1	5	9	54	8	32	14	3	10	7	1	10	7
hsa-miR-1295a	1	21	0	0	2	6	6	1	5	0	3	6	2	18	5	0	14	0	16	32	4	6	12	135	5	16	39	2	12	0	0	1	7
hsa-miR-1295b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1295b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1296-3p	16	3	28	1	0	9	1	18	0	7	0	4	11	17	0	0	4	0	1	0	0	0	0	39	8	131	8	82	0	4	25	0	18
hsa-miR-1296-5p	5216	2128	3350	1496	1077	4756	2639	1094	1172	532	4694	2059	1157	3984	1521	713	816	251	1347	641	1001	1781	1604	13142	705	7118	10457	755	502	268	1150	327	1698
hsa-miR-1297	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1298-3p	4368	8315	3248	4208	935	130	4788	1967	2658	1006	4246	3114	3338	5246	2097	1809	4028	1613	3157	5008	2456	2514	3329	19223	2143	11330	11814	897	1540	261	1894	670	362
hsa-miR-1298-5p	3202	4889	2828	4093	1403	178	3804	1365	1132	524	3484	3032	1740	7288	2637	1441	2298	849	2565	1590	1905	1294	1271	11684	1901	11766	7019	541	1097	105	1026	271	359
hsa-miR-1299	1507	662	3306	125	134	34	851	244	439	73	673	388	338	755	598	142	42	13	176	727	139	94	300	760	378	244	963	31	53	21	325	64	131
hsa-miR-1301-3p	5502	8820	5786	3538	1589	312	4254	2050	2441	955	4605	3370	2735	3637	1629	2391	4888	1659	4842	7621	2177	3084	2461	12911	2647	10162	5448	619	1410	439	1782	380	908
hsa-miR-1301-5p	1	0	10	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-1302	74	69	31	27	9	21	24	17	19	3	55	23	2	39	16	11	8	4	19	16	12	19	3	90	26	80	75	3	5	5	0	5	7
hsa-miR-1303	71	32	41	25	20	4	26	28	39	13	23	30	15	218	26	40	80	6	23	51	53	10	8	165	12	10	115	17	4	6	8	14	33
hsa-miR-1304-3p	3	3	5	6	1	0	0	4	16	1	7	9	0	32	1	0	0	10	0	13	6	10	9	93	1	22	37	2	0	6	3	29	11
hsa-miR-1304-5p	7	0	11	0	0	0	0	2	1	0	0	1	1	0	6	0	0	0	0	0	0	0	0	13	0	11	0	5	1	0	0	9	1
hsa-miR-1305	1	4	5	0	0	0	5	6	0	1	17	15	0	0	1	0	0	0	0	3	2	0	1	0	6	0	0	0	0	1	0	4	2
hsa-miR-1306-3p	97	74	14	40	25	27	30	21	24	6	22	33	20	63	23	13	32	26	54	31	20	16	20	242	16	104	146	22	2	17	5	12	21
hsa-miR-1306-5p	360	224	194	109	97	73	155	84	68	35	175	114	202	392	53	28	116	51	210	252	130	74	137	650	73	625	232	24	32	13	40	9	55
hsa-miR-1307-3p	1904	1144	1162	500	263	129	783	317	530	201	1090	486	548	1191	266	309	582	146	562	994	730	333	316	3848	187	1429	1511	286	170	63	237	77	388
hsa-miR-1307-5p	879	515	537	395	215	104	526	136	272	117	619	331	298	1260	229	134	359	92	247	207	359	147	232	2214	130	1774	2623	63	132	81	179	70	220
hsa-miR-130a-3p	844	838	502	318	336	438	884	234	215	129	957	532	358	2080	459	202	200	72	446	170	530	394	295	2110	301	1538	2355	105	148	85	299	84	282
hsa-miR-130a-5p	22	17	13	15	4	0	19	2	5	3	26	12	1	0	6	0	7	0	1	11	11	32	0	0	6	2	55	1	0	13	2	5	10
hsa-miR-130b-3p	1160	662	1016	358	259	550	748	351	208	74	990	684	401	1354	339	272	380	190	270	290	212	403	402	3492	218	1792	2902	69	203	157	357	164	169
hsa-miR-130b-5p	713	936	770	380	243	100	532	293	425	101	625	395	389	1189	339	320	1003	385	529	1452	296	599	440	1543	425	2212	1370	73	179	47	313	95	149
hsa-miR-132-3p	15694	18516	25532	2799	1997	1206	9282	2134	2144	2696	5982	4827	3547	6162	2418	3611	3955	1655	3869	19103	5057	3318	3117	20461	2596	25094	12959	1833	2991	1307	5784	1782	5559
hsa-miR-132-5p	11318	10503	13990	1515	933	419	6453	1482	965	1471	3018	2967	2333	4150	1512	3605	3703	1704	2484	10477	3300	2085	1511	10646	1968	21654	7499	725	1206	343	2671	533	1643
hsa-miR-1321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1322	0	0	0	0	0	0	6	1	0	0	0	0	0	0	1	7	0	0	3	0	5	0	0	0	2	0	0	0	0	0	10	0	0
hsa-miR-1323	0	7	0	7	0	0	10	1	1	2	2	12	0	8	0	6	22	5	11	0	8	5	0	0	5	39	1	0	0	0	12	4	1
hsa-miR-1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-133a-3p	1730	899	597	269	462	300	766	330	252	170	1185	908	1119	937	315	175	179	75	283	171	206	406	486	1865	184	1713	2945	229	79	228	297	153	391
hsa-miR-133a-5p	42	3	4	17	2	1	2	1	5	0	15	22	7	0	10	0	0	5	3	1	4	6	0	0	2	130	21	4	0	4	18	0	11
hsa-miR-133b	22	3	16	2	1	113	23	16	4	0	50	20	39	26	5	0	2	0	4	3	1	10	8	20	0	57	122	2	1	6	8	10	12
hsa-miR-134-3p	80	58	99	32	34	17	108	19	25	20	113	54	74	10	39	68	19	0	62	52	44	56	20	374	27	104	273	7	2	1	41	16	32
hsa-miR-134-5p	4152	3220	3592	1388	812	882	2485	877	876	406	3234	1702	1403	2834	1019	992	1396	405	1869	1339	1024	1243	1180	6965	1249	5218	5711	372	598	369	818	277	1021
hsa-miR-1343-3p	168	126	305	106	40	19	99	27	55	22	76	115	75	103	43	56	131	30	110	64	51	34	126	466	44	242	218	22	28	9	52	27	34
hsa-miR-1343-5p	0	28	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	15	0	0	0	0	0	1
hsa-miR-135a-2-3p	152	260	179	53	172	13	167	81	28	20	110	73	76	439	56	60	192	56	82	176	197	55	65	331	55	234	233	45	152	31	73	26	98
hsa-miR-135a-3p	0	0	0	0	2	0	0	0	0	0	2	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-135a-5p	14534	18396	14709	7803	11260	2047	22768	10338	3869	4516	14687	8172	8197	31249	8292	3979	4677	3270	8217	5930	26742	5559	6992	29067	3896	18275	29734	3142	6088	955	10202	1688	10644
hsa-miR-135b-3p	0	5	18	8	0	32	3	1	3	2	5	0	0	0	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0
hsa-miR-135b-5p	2870	1846	1535	961	498	17481	3263	1055	481	480	2497	1509	1670	1928	937	680	951	480	1371	759	1393	932	891	4755	808	4606	5527	231	649	105	1237	234	984
hsa-miR-136-3p	16653	11215	12766	10444	4584	4788	14363	4077	5402	2202	24294	11779	4983	24788	10737	12424	17599	2794	9938	2977	7382	7247	5659	40243	8991	65217	92645	2270	6672	1774	7977	2820	5304
hsa-miR-136-5p	2724	1353	1509	711	430	511	2004	586	1186	456	2219	1182	668	2438	618	750	372	170	743	917	1324	527	352	2533	657	4328	5927	777	213	179	741	227	754
hsa-miR-137-3p	8345	10183	6083	8841	2972	407	10696	3595	3432	2168	13241	8342	4751	12137	5436	3297	2717	968	5321	2185	5157	5223	4626	28867	4029	19982	38582	1737	3318	788	4730	1164	6347
hsa-miR-137-5p	130	263	141	76	52	0	101	40	46	16	77	69	59	148	37	60	31	22	65	177	37	92	50	331	49	109	67	43	2	14	37	9	67
hsa-miR-138-1-3p	868	920	544	334	142	68	556	230	305	98	636	441	371	839	177	198	274	64	303	378	284	282	194	1631	155	1283	1625	151	178	72	293	132	139
hsa-miR-138-2-3p	852	685	751	216	112	9	436	280	331	100	358	301	541	440	135	293	254	102	357	1150	246	193	196	778	238	1247	490	131	108	42	105	53	102
hsa-miR-138-5p	32046	23138	23273	14790	5528	1223	23825	8101	6614	3274	26889	20607	10993	17909	9595	7398	6247	2084	12852	5063	8230	10212	7195	55407	10390	62964	60415	2607	3496	1345	6711	2471	4119
hsa-miR-139-3p	1999	1910	1779	734	450	48	1122	533	1017	332	1187	990	937	1845	425	529	928	266	1053	3961	786	642	501	3239	668	2958	1206	268	196	140	341	146	514
hsa-miR-139-5p	101557	109688	84319	52756	22119	2784	75348	34692	39555	12859	78203	73987	55279	105047	35970	37878	41678	15371	65332	75227	35204	45929	31847	200446	53008	256145	178290	10394	18017	6337	25343	8704	20092
hsa-miR-140-3p	98369	84817	77623	44440	29929	19135	59184	21284	32067	14359	87776	56374	37193	145873	38971	33117	60286	19156	31501	34328	32418	37144	58697	270474	23414	179585	291748	16221	32339	25974	34967	21908	16465
hsa-miR-140-5p	5878	4199	4039	2239	1406	2469	5809	1865	1749	1155	4806	3665	3479	9866	1790	855	614	261	1899	1641	2676	1438	1865	10831	1284	7289	17740	1080	727	355	2265	841	1589
hsa-miR-141-3p	5	0	8	10	16	6	5	7	7	2	28	4	15	94	17	9	12	0	25	2	34	4	6	50	7	25	20	5	0	1	3	5	5
hsa-miR-141-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-142-3p	818	495	443	436	313	105	808	301	264	259	1591	451	455	3054	327	107	53	24	258	277	1254	203	315	839	142	826	1924	346	99	11	335	75	285
hsa-miR-142-5p	1181	1193	706	938	713	160	1191	484	819	328	3475	1267	703	11300	1583	920	1465	189	744	515	1835	760	708	5389	666	4806	11790	413	458	128	738	373	432
hsa-miR-143-3p	529005	366601	341743	233784	98575	64812	337876	98354	458413	183315	390136	341070	423717	1207003	196319	114493	237126	139830	157890	413974	250244	167738	173846	1103468	136815	888363	1277578	134321	111964	36794	117482	80215	113057
hsa-miR-143-5p	818	308	343	395	91	42	368	77	459	175	509	382	500	1158	214	129	87	54	171	169	303	226	200	1344	64	924	1160	105	64	21	28	36	68
hsa-miR-144-3p	494	228	124	305	263	104	630	137	379	220	811	1201	401	1793	534	299	466	21	184	94	726	176	111	1055	294	1531	9626	130	52	42	506	198	240
hsa-miR-144-5p	2231	1567	973	1412	1322	309	2948	982	924	895	3350	4997	3060	6285	1401	1160	2039	287	1172	857	2085	1133	971	4273	1127	3560	15181	509	435	116	3233	1046	1024
hsa-miR-145-3p	6259	5350	3708	3834	2334	779	3710	1424	3013	1250	5332	4800	7338	20572	2982	2506	2738	1180	2627	2425	2107	3049	2519	16107	2208	11722	15010	746	1654	705	1484	867	957
hsa-miR-145-5p	27191	17280	14300	11361	6200	2779	15562	5755	12024	6182	19129	16709	22757	46753	8472	4667	2901	2609	6802	7560	9096	7645	7501	57355	5561	32359	44750	5302	2382	1445	5523	3318	5131
hsa-miR-1468-3p	1	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	1	1	19	0	0	0	0	0	0
hsa-miR-1468-5p	198	489	198	201	48	10	218	104	159	49	200	143	264	540	119	123	377	100	208	631	112	230	71	706	118	479	320	12	76	1	19	13	26
hsa-miR-1469	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	11	0	0	0	0	0	0	0	0	0
hsa-miR-146a-3p	26	1	42	0	11	0	7	7	18	0	17	1	12	13	4	0	0	10	18	10	21	8	13	34	0	24	38	8	1	0	5	0	1
hsa-miR-146a-5p	18715	13666	9305	5887	3222	2065	15623	3646	6742	3085	18665	9009	9155	29353	4818	2292	4467	2440	7606	5334	6866	4842	5453	38497	3731	14582	31792	4066	3238	2040	4210	3380	4394
hsa-miR-146b-3p	417	358	314	124	115	18	204	171	147	67	572	154	305	682	164	126	215	74	142	338	284	131	122	642	139	634	533	41	55	44	78	27	91
hsa-miR-146b-5p	22276	20568	16966	9383	9091	3577	20380	8792	7775	3394	46208	9324	9916	38923	8215	7917	12237	4471	9770	14547	11922	6380	9419	35476	5840	27335	41104	4248	8506	3435	10822	4351	9155
hsa-miR-1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-147a	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-147b-3p	2	1	1	6	6	10	16	7	2	0	25	14	0	17	14	0	21	3	1	16	7	4	1	39	4	20	88	1	5	11	9	0	3
hsa-miR-147b-5p	5	3	8	1	9	3	1	0	7	0	4	11	3	3	0	4	30	0	4	11	4	1	5	26	8	14	3	15	6	11	3	8	3
hsa-miR-148a-3p	35979	29447	27358	25504	10205	1807	36248	12540	30999	10438	40997	25524	19286	69877	15501	10137	15631	5456	22703	21818	32374	16681	15982	91802	10722	60733	146626	13432	8437	1472	9655	3551	4492
hsa-miR-148a-5p	511	344	236	221	123	23	301	112	142	55	387	247	82	518	180	259	326	64	226	94	189	198	180	1474	170	796	1208	65	100	24	119	30	39
hsa-miR-148b-3p	20610	15338	11095	12898	5263	5384	18659	7152	12658	5064	20346	14667	9369	39596	9583	6421	9718	3272	9643	11080	13016	8555	9768	50333	5360	36169	86330	5753	5691	4287	6830	3579	7170
hsa-miR-148b-5p	354	203	291	170	91	138	362	111	155	67	405	188	59	726	222	225	231	105	125	139	197	141	137	1153	178	753	1563	97	106	84	162	98	85
hsa-miR-149-3p	3	10	5	1	0	0	1	1	5	3	3	7	1	0	7	0	0	1	0	3	2	0	2	0	3	0	0	0	6	0	0	0	0
hsa-miR-149-5p	26063	32158	17843	10166	8125	6370	18578	9325	5814	3423	15214	11206	10357	29291	5767	6629	11259	3612	14227	20835	11318	13685	8330	56240	7631	44298	31588	2603	4070	1304	6200	1867	6134
hsa-miR-150-3p	0	6	0	8	6	1	2	1	3	0	0	2	0	36	0	0	0	0	0	3	1	0	0	20	0	0	0	0	0	0	0	0	0
hsa-miR-150-5p	4534	4666	3772	2567	2288	598	2209	2000	1706	613	6007	3045	1516	12969	2470	1815	1578	555	2105	2425	1558	2346	2359	13818	1995	9927	12980	747	1039	257	1991	845	1095
hsa-miR-151a-3p	43443	22962	31515	13037	9759	7100	25790	9976	17598	6544	29003	19214	15424	56047	12370	14044	20591	6698	9715	29082	11958	14275	19269	100177	7330	73056	110341	5698	5254	7318	8077	5348	6049
hsa-miR-151a-5p	138529	131642	107961	47989	35336	11480	97942	38803	41907	19813	78604	70866	76166	207420	48209	47069	58871	22274	50167	100311	34885	56679	49750	296681	44073	350025	250037	10711	17544	22937	33430	13926	18263
hsa-miR-151b	9438	10068	6864	3256	2314	1155	5877	2446	3192	1355	5637	5188	4780	16697	3413	3339	4973	2083	2720	6541	1820	4032	4016	26462	2727	26186	24331	795	1514	1836	3304	1143	1089
hsa-miR-152-3p	7358	5049	7352	2710	3360	1593	4865	3022	3091	1283	6826	3786	3545	31162	3510	1875	2183	747	2051	2281	5673	2229	3717	15720	1380	11583	29466	1589	2103	1723	2458	1122	2026
